codigo,nombre,categoria,marca,precio,stock_actual,stock_minimo,descripcion,ubicacion
MASCO-COM-036,Comida Royal Canin Adulto 15kg,Mascotas,Royal Canin,189.99,20,5,"Comida Royal Canin Adult perros medianos, 15kg, Nutricion balanceada, Edad 1-7 años",I1-08
MASCO-JUG-037,Juguete Kong Classic Rojo M,Mascotas,Kong,45.99,50,15,"Juguete Kong Classic tamaño M, Caucho natural resistente, Rellenable con premios",I2-12
MASCO-CAM-038,Cama Ortopedica Perro Grande,Mascotas,Pet Comfort,299.99,15,4,"Cama ortopedica para perros grandes, Memory foam, Funda lavable, Antideslizante",I3-06
MASCO-COL-039,Collar GPS Garmin Alpha 100,Mascotas,Garmin,899.99,8,2,"Collar GPS Garmin Alpha 100 para perros, Rastreo tiempo real, Resistente al agua",I4-03
MASCO-ARE-040,Arena Sanitaria Cats Best 20L,Mascotas,Cats Best,79.99,60,18,"Arena sanitaria Cats Best Original 20L, Fibra vegetal, Biodegradable, Control olores",I1-15
LIBR-NOV-041,Libro Cien Años Soledad Tapa Dura,Libros,Sudamericana,89.99,25,8,"Libro Cien Años de Soledad de Gabriel Garcia Marquez, Edicion tapa dura, 432 paginas",J1-20
LIBR-CUE-042,Cuaderno Moleskine Classic A5,Libros,Moleskine,129.99,40,12,"Cuaderno Moleskine Classic A5, Tapa dura negra, 240 paginas rayadas, Banda elastica",J2-15
LIBR-REV-043,Revista National Geographic Año,Libros,National Geographic,299.99,30,8,"Suscripcion anual revista National Geographic, 12 ediciones, Incluye acceso digital",J1-25
LIBR-DIC-044,Diccionario RAE Esencial,Libros,RAE,159.99,20,6,"Diccionario Real Academia Española Esencial, Ultima edicion, 70000 entradas, Tapa dura",J3-10
LIBR-MAN-045,Manual Cocina Peruana Gastón,Libros,Planeta,199.99,15,4,"Manual de cocina peruana por Gaston Acurio, 500 recetas tradicionales, Fotos a color",J2-08
JARD-MAC-046,Maceta Ceramica Decorativa 30cm,Jardin,Garden Home,79.99,35,10,"Maceta ceramica decorativa 30cm diametro, Color terracota, Con plato, Para interior",K1-12
JARD-TIJ-047,Tijera Poda Profesional Fiskars,Jardin,Fiskars,159.99,25,6,"Tijera de poda Fiskars profesional, Hoja acero carbono, Mango ergonomico, Garantia 25 años",K2-08
JARD-MAN-048,Manguera Jardin Extensible 30m,Jardin,Karcher,189.99,20,5,"Manguera jardin Karcher extensible 30m, Latex interior, Pistola 7 funciones incluida",K3-06
JARD-FER-049,Fertilizante Organico Universal 5kg,Jardin,Eco Green,89.99,40,12,"Fertilizante organico universal 5kg, NPK balanceado, Para todo tipo plantas, Ecologico",K1-18
JARD-SEM-050,Semillas Cesped Bermuda Premium,Jardin,Grass Pro,129.99,30,8,"Semillas cesped Bermuda premium 1kg, Resistente sequia, Crecimiento rapido, Para 100m2",K4-10
